직종코드3,직종명3,직종코드2,직종명2,직종코드1,직종명1
011100,의회의원·고위공무원 및 공공단체임원,011,행정·경영·금융·보험 관리직,01,경영·사무·금융·보험
011200,기업 고위임원,011,행정·경영·금융·보험 관리직,01,경영·사무·금융·보험
012100,정부행정 관리자,011,행정·경영·금융·보험 관리직,01,경영·사무·금융·보험
012200,경영지원 관리자,011,행정·경영·금융·보험 관리직,01,경영·사무·금융·보험
012201,경영기획 부서장,011,행정·경영·금융·보험 관리직,01,경영·사무·금융·보험
012202,인사·노무·교육·총무·감사 부서장,011,행정·경영·금융·보험 관리직,01,경영·사무·금융·보험
012203,자재·구매 부서장,011,행정·경영·금융·보험 관리직,01,경영·사무·금융·보험
012204,재무·회계·경리 부서장,011,행정·경영·금융·보험 관리직,01,경영·사무·금융·보험
012205,기타 경영지원 서비스 관리자,011,행정·경영·금융·보험 관리직,01,경영·사무·금융·보험
012300,마케팅·광고·홍보 관리자(부서장),011,행정·경영·금융·보험 관리직,01,경영·사무·금융·보험
012400,금융·보험 관리자(부서장),011,행정·경영·금융·보험 관리직,01,경영·사무·금융·보험
013100,연구 관리자,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,01,경영·사무·금융·보험
013200,교육 관리자(부서장),012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,01,경영·사무·금융·보험
013300,법률·경찰·소방·교도 관리자,012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,01,경영·사무·금융·보험
013400,보건·의료 관리자(부서장),012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,01,경영·사무·금융·보험
013500,사회복지 관리자(부서장),012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,01,경영·사무·금융·보험
013600,예술·디자인·방송 관리자(부서장),012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,01,경영·사무·금융·보험
013700,정보통신 관리자(부서장),012,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직,01,경영·사무·금융·보험
